"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"11","Today #EU more https://t.co/ojJ1p7mrvi #to #ecb #https #in #html #2018 #eu_events #how #about #economy #Environment… https://t.co/PBlRP9omR5",FALSE,0,NA,2018-12-27 16:06:05,TRUE,NA,"1078321127603294210",NA,"<a href=""http://www.dashub.info"" rel=""nofollow"">Dashub</a>","MyDashub",1,FALSE,FALSE,NA,NA
"12","German army 'could recruit EU citizens' 
https://t.co/NsyZfZPJC8
#Germany #EU #economy #workers #recruitment… https://t.co/7Em4QjedKX",FALSE,0,NA,2018-12-27 15:39:15,TRUE,NA,"1078314374006157312",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ChuckDalldorf",0,FALSE,FALSE,NA,NA
"13","Sobering statistics on #poverty among #EuropeanUnion #workers - even tho #EU countries are generally much more… https://t.co/PxHVj1GjRR",FALSE,1,NA,2018-12-27 15:35:40,TRUE,NA,"1078313473464025089",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AlanTonelson",0,FALSE,FALSE,NA,NA
"14","Living conditions in Europe - material deprivation and economic strain #EU #Cyprus #economy #stats… https://t.co/h11hvsycqd",FALSE,0,NA,2018-12-27 15:13:44,TRUE,NA,"1078307953244028928",NA,"<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>","mamchenkov",0,FALSE,FALSE,NA,NA
"15","'#Spain’s influence in the #EU will grow, but with limits'
#Brexit #Economy @oxfordanalytica 
https://t.co/8I2awVB6bE",FALSE,0,NA,2018-12-27 14:58:15,FALSE,NA,"1078304057599713282",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Infabode",0,FALSE,FALSE,NA,NA
"16","RT @BuildSpecifier: Construction bosses worry EU workers won’t return to UK after Christmas: https://t.co/YmIUupbHG0 #construction #eu #bre…",FALSE,0,NA,2018-12-27 14:38:55,FALSE,NA,"1078299189421985793",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","TCJ_UK",6,TRUE,FALSE,NA,NA
"17","RT @Paddideh: Iran Regime Destroyed Country’s #Economy Singlehandedly 

https://t.co/gFNvS0GY8h

#Iran #Iranian #Teacher #Law #Court #Lawye…",FALSE,0,NA,2018-12-27 14:14:37,FALSE,NA,"1078293073686339584",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Paddideh",3,TRUE,FALSE,NA,NA
"18","[Data Thursday] @atomico in partnership with @SlushHQ and @Orrick released the most comprehensive data-driven analy… https://t.co/lmZtdQfFCQ",FALSE,1,NA,2018-12-27 12:02:55,TRUE,NA,"1078259933467103232",NA,"<a href=""https://www.postpickr.com"" rel=""nofollow"">PostPickr</a>","anto_schiavo",1,FALSE,FALSE,NA,NA
"19","Nord Stream 2: Construction begins in Finland https://t.co/bMSCDqo0pc #Finland #Nordstream2 #Pipeline #Russia… https://t.co/1S2SSAhKhp",FALSE,0,NA,2018-12-27 11:45:10,TRUE,NA,"1078255466894053377",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","AZ_Nordic_News",0,FALSE,FALSE,NA,NA
"20","RT @BuildSpecifier: Construction bosses worry EU workers won’t return to UK after Christmas: https://t.co/YmIUupbHG0 #construction #eu #bre…",FALSE,0,NA,2018-12-27 09:40:42,FALSE,NA,"1078224141214539776",NA,"<a href=""http://www.echofon.com/"" rel=""nofollow"">Echofon</a>","BESSprogramme",6,TRUE,FALSE,NA,NA
"21","RT @BuildSpecifier: Construction bosses worry EU workers won’t return to UK after Christmas: https://t.co/YmIUupbHG0 #construction #eu #bre…",FALSE,0,NA,2018-12-27 09:24:26,FALSE,NA,"1078220047015923713",NA,"<a href=""http://forwardas.one"" rel=""nofollow"">FAO Twitter Bot</a>","FAO_Scotbot",6,TRUE,FALSE,NA,NA
"22","RT @BuildSpecifier: Construction bosses worry EU workers won’t return to UK after Christmas: https://t.co/YmIUupbHG0 #construction #eu #bre…",FALSE,0,NA,2018-12-27 09:21:43,FALSE,NA,"1078219365756096512",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CalcoServices",6,TRUE,FALSE,NA,NA
"23","RT @BuildSpecifier: Construction bosses worry EU workers won’t return to UK after Christmas: https://t.co/YmIUupbHG0 #construction #eu #bre…",FALSE,0,NA,2018-12-27 09:17:22,FALSE,NA,"1078218270115856384",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","RandRMag",6,TRUE,FALSE,NA,NA
"24","RT @BuildSpecifier: Construction bosses worry EU workers won’t return to UK after Christmas: https://t.co/YmIUupbHG0 #construction #eu #bre…",FALSE,0,NA,2018-12-27 09:17:19,FALSE,NA,"1078218256454991872",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","MMCMag",6,TRUE,FALSE,NA,NA
"25","Construction bosses worry EU workers won’t return to UK after Christmas: https://t.co/YmIUupbHG0 #construction #eu… https://t.co/2WNdsorDmd",FALSE,2,NA,2018-12-27 09:17:13,TRUE,NA,"1078218233147244544",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","BuildSpecifier",6,FALSE,FALSE,NA,NA
"26","Thank Trump for #Cheap #Cheese, but #DairyFarmers Are #Hurting https://t.co/yiAXJzlIjT? #Tradedispute #Globaltrade… https://t.co/OgEJHrNGy7",FALSE,0,NA,2018-12-26 19:45:32,TRUE,NA,"1078013964217282560",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","hitech_guru",0,FALSE,FALSE,NA,NA
"27","For the past month, economic data in the United States, Japan and the euro zone consistently has failed to meet ana… https://t.co/Qx9pSQcuOR",FALSE,0,NA,2018-12-26 17:41:41,TRUE,NA,"1077982797069922304",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BoilerRoomTweet",0,FALSE,FALSE,NA,NA
"28","RT @elerianm: Good morning.

Insights from game theory on #UK Prime Minister Theresa May's current #Brexit negotiating approach, why a solu…",FALSE,0,NA,2018-12-26 17:07:30,FALSE,NA,"1077974193516544006",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JuanSantosLegu8",13,TRUE,FALSE,NA,NA
"29","RT @weareji: #UK unprepared for #Brexit. World's fastest growing #economy, #India, more so. #Trade talks with #EU dragging for yrs. Govt &amp;…",FALSE,0,NA,2018-12-26 15:38:25,FALSE,NA,"1077951775594795008",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","shobhit_kanpur",1,TRUE,FALSE,NA,NA
"30","Three English Channel migrants brought ashore https://t.co/c0I293BGrx
#France #UK #EU #migration #refugees #rescues #politics #economy",FALSE,0,NA,2018-12-26 14:46:53,FALSE,NA,"1077938808388087808",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ChuckDalldorf",0,FALSE,FALSE,NA,NA
